a;b;c;d;e;f;g;h;i;j
0,9;0,0;0,1;0,3;0,6;0,5;0,2;0,8;0,4;0,7
0,9;0,0;0,1;0,3;0,6;0,5;0,2;0,8;0,4;0,7
0,9;0,0;0,1;0,3;0,6;0,5;0,2;0,8;0,4;0,7
0,9;0,0;0,1;0,3;0,6;0,5;0,2;0,8;0,4;0,7
0,9;0,0;0,1;0,3;0,6;0,5;0,2;0,8;0,4;0,7
0,9;0,0;0,1;0,3;0,6;0,5;0,2;0,8;0,4;0,7
0,9;0,0;0,1;0,3;0,6;0,5;0,2;0,8;0,4;0,7
0,9;0,0;0,1;0,3;0,6;0,5;0,2;0,8;0,4;0,7
0,9;0,0;0,1;0,3;0,6;0,5;0,2;0,8;0,4;0,7
0,9;0,0;0,1;0,3;0,6;0,6;0,2;0,8;0,4;0,7
0,9;0,1;0,1;0,3;0,6;0,6;0,2;0,8;0,4;0,7
1,0;0,1;0,1;0,3;0,6;0,6;0,2;0,8;0,4;0,7
1,1;0,1;0,1;0,3;0,6;0,6;0,2;0,8;0,4;0,7
1,1;0,1;0,1;0,3;0,6;0,6;0,2;0,8;0,5;0,7
1,1;0,1;0,1;0,3;0,6;0,6;0,2;0,8;0,5;0,7
1,1;0,1;0,1;0,3;0,6;0,6;0,2;0,8;0,5;0,7
