a;b;c;d;e;f;g;h;i;j
0,9;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
0,9;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
0,9;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
0,9;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
0,9;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
0,9;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
0,9;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
0,9;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
0,9;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
0,9;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
0,9;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
1,0;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
1,0;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
1,0;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
1,0;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
1,0;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
1,0;0,8;0,4;0,7;0,5;1,0;0,2;0,3;0,1;0,0
1,0;0,8;0,4;0,7;0,6;1,0;0,2;0,3;0,1;0,0
1,0;0,8;0,4;0,7;0,7;1,0;0,2;0,3;0,1;0,0
1,0;0,8;0,4;0,7;0,8;1,0;0,2;0,3;0,1;0,0
1,0;0,8;0,4;0,7;0,9;1,0;0,2;0,3;0,1;0,0
1,0;0,8;0,4;0,7;0,9;1,0;0,2;0,3;0,2;0,0
1,1;0,8;0,4;0,7;0,9;1,0;0,2;0,3;0,2;0,0
1,1;0,8;0,4;0,7;0,9;1,0;0,2;0,3;0,3;0,0
1,1;0,8;0,4;0,7;0,9;1,0;0,2;0,3;0,4;0,0
1,1;0,8;0,4;0,7;0,9;1,0;0,2;0,3;0,5;0,0
1,1;0,8;0,4;0,7;0,9;1,0;0,2;0,3;0,6;0,0
1,1;0,8;0,4;0,7;0,9;1,0;0,2;0,3;0,7;0,0
1,1;0,8;0,4;0,7;0,9;1,0;0,2;0,3;0,8;0,0
1,1;0,8;0,4;0,7;0,9;1,0;0,2;0,3;0,9;0,0
1,1;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,0;0,0
1,1;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,1;0,0
1,1;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,2;0,0
1,1;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,3;0,0
1,1;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,4;0,0
1,2;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,4;0,0
1,2;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,5;0,0
1,2;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,6;0,0
1,2;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,7;0,0
1,2;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,0
1,2;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,1
1,2;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,2
1,2;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,2
1,2;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,2
1,2;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,2
1,2;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,2
1,2;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,3
1,2;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,4
1,3;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,4
1,4;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,4
1,5;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,4
1,6;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,4
1,7;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,4
1,7;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,4
1,8;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,4
1,9;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,4
2,0;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,4
