a;b;c;d;e;f;g;h;i;j
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
0,8;0,3;0,9;0,2;0,1;0,7;0,0;0,4;1,0;0,5
